business,name,city,state,country,energyType,date,size,longitude,latitude
AWS,Amazon Wind Farm Finland - Pahkakoski,Finland,Finland,Finland,Wind farm,2026,150.48,26.026,65.322998
AWS,Amazon Solar Farm Texas - Desert Willow,Swisher County,Texas,US,Solar farm,2024,175,-102.967,34.484
"72% AWS, 28% Amazon.com",Amazon Solar Farm Brazil - Novo Oriente,Sao Paulo,Brazil,Brazil,Solar farm,2024,122,-51.341,-20.652
AWS,Amazon Wind Farm Illinois - Crescent Ridge,Bureau County,Illinois,US,Wind farm,2022,54,-89.853,41.238
AWS,Amazon Solar Farm Missouri - Altona,Audrain County,Missouri,US,Solar farm,2023,30,-92.141,39.284
AWS,Amazon Solar Farm Arkansas - Crooked Lake,Mississippi,Arkansas,US,Solar farm,2024,175,-89.79,35.92
AWS,Amazon Solar Farm Virginia - Gretna,Pittsylvania County,Virginia,US,Solar farm,2020,45,-79.425,36.781
AWS,Amazon Wind Farm Ireland - Donegal,Donegal,Ireland,Ireland,Wind farm,2022,91.2,-8.058,54.648
AWS,Amazon Solar Farm Oklahoma - Kiowa,Kiowa,Oklahoma,US,Solar farm,2025,100,-98.962,34.67
AWS,Amazon Solar Farm Arkansas - Prairie Mist,Ashley County,Arkansas,US,Solar farm,2025,99.9,-91.667,33.238
AWS,Amazon Wind Farm Finland - Kalajoki,Finland,Finland,Finland,Wind farm,2023,63.84,23.927,64.196
AWS,Amazon Solar Farm Mississippi - Ragsdale,Madison County,Mississippi,US,Solar farm,2024,100,-90,32.549999
AWS,Amazon Wind Farm Scotland - Beinn an Tuirc 3,Argyll and Bute,Scotland,United Kingdom,Wind farm,2021,50,-5.591,55.534
AWS,Amazon Solar Farm Missouri - Blue Bird,Warren County,Missouri,US,Solar farm,2023,139,91.138,38.894
AWS,Amazon Solar Farm Virginia - Sunnybrook,Halifax,Virginia,US,Solar farm,2022,51,-78.83,36.8
AWS,Amazon Solar Farm Indiana - Maple,Huntington County,Indiana,US,Solar farm,2024,35,-85.38,40.694
AWS,Amazon Solar Farm II,Japan,Japan,Japan,Solar farm,2024,15,139.071,36.13
AWS,Amazon Solar Farm Ohio - Highland,Highland County,Ohio,US,Solar farm,2024,300,-83.795,39.071
AWS,Amazon Wind Farm Oklahoma – Ponderosa II,Beaver,Oklahoma,US,Wind farm,2023,100,-100.66,36.74
AWS,Amazon Solar Farm Canada - Lathom,Newell,Alberta,Canada,Solar farm,2023,80,-113.23,50.72
AWS,Amazon Wind Farm Spain - Salguero,Spain,Spain,Spain,Wind farm,2025,24.8,-4.644,42.136
AWS,Amazon Solar Farm Australia - Suntop,New South Wales,Australia,Australia,Solar farm,2021,105,148.829,-32.583
AWS,Amazon Wind Farm Finland - Kyyjärvi,Finland,Finland,Finland,Wind farm,2023,36,24.847,63.097
AWS,Amazon Solar Farm North Carolina - Hawtree Creek,Warren County,North Carolina,US,Solar farm,2021,65,-78.104,36.53
AWS,Amazon Solar Farm Spain - Brazatortas,Spain,Spain,Spain,Solar farm,2024,37.75,-4.223,38.712
AWS,Taean Nammyeon I,South Korea,South Korea,South Korea,Solar farm,2025,60,126.311,36.694
AWS,Amazon Solar Farm Spain - FV Retama,Spain,Spain,Spain,Solar farm,2025,31.96,-4.39,42.07
"50% AWS, 50% Amazon.com",Amazon Solar Farm Spain - Carmonita South,Spain,Spain,Spain,Solar farm,2024,80,6.45,38.97
AWS,Amazon Wind Farm Sweden - Bäckhammar,Bäckhammar,Sweden,Sweden,Wind farm,2020,91,14.283,59.283
AWS,Amazon Wind Farm Canada - Buffalo Plains,Canada,Canada,Canada,Wind farm,2025,415,-112.727,50.361
AWS & Devices,Amazon Wind Farm China - Bobai,China,China,China,Wind farm,2025,150,110.108,22.084
AWS,Amazon Wind Farm Finland - Illevaara,Finland,Finland,Finland,Wind farm,2024,30,28.554,64.587
AWS,Amazon Wind Farm India - Osmanabad,India,India,India,Wind farm,2025,198,76.247,18.384
AWS,Amazon Solar Farm Missouri - Envoy,Audrain County,Missouri,US,Solar farm,2023,50,-91.835,39.154
AWS,Amazon Solar Farm Texas - Nazareth,Swisher and Castro,Texas,US,Solar farm,2025,170,-101.98,34.49
AWS ,Amazon Solar Farm Pennsylvania - Ridgeway,McKean County,Pennsylvania,US,Solar farm,2023,90,-78.515,41.696
AWS,Amazon Solar Farm Spain – Armada,Spain,Spain,Spain,Solar farm,2024,74,-3.2,40.39
AWS,Amazon Solar Farm Louisiana – St Landry,St Landry Parish,Louisiana,US,Solar farm,2024,100,-91.967,30.511
AWS,Amazon Solar Farm Spain - Valdezorita,Spain,Spain,Spain,Solar farm,2025,38.24,-1.74,40.325
AWS,Amazon Solar Farm Illinois - Junction,Lee County,Illinois,US,Solar farm,2022,100,-89.37,41.49
AWS,Amazon Solar Farm Virginia - Scott,Powhatan County,Virginia,US,Solar farm,2017,20,-77.902,37.554
AWS,Amazon Wind Farm Sweden - Kallamossen,Sweden,Sweden,Sweden,Wind farm,2023,258,20.666,65.327
"90% AWS, 10% v",Amazon Shell HKN Offshore Wind,Netherlands,Netherlands,Netherlands,Wind farm,2024,380,4.573,52.461
AWS,Amazon Wind Farm Illinois - Midland,Henry County,Illinois,US,Wind farm,2022,100,-90.014,41.263
AWS,Amazon Solar Farm Virginia - Bartonsville 2,Frederick County,Virginia,US,Solar farm,2024,50,-78.232,39.086
AWS,Amazon Solar Farm Virginia - Carvers Creek,Gloucester County,Virginia,US,Solar farm,2022,130,-76.608,37.548
AWS,Amazon Wind Farm - San Bartolome,"Municipality of Aguilon, in the province of Zaragoza (Aragon), Spain",Spain,Spain,Wind farm,2023,38.6,-0.955,41.305
AWS,Amazon Solar Farm Ohio - Sycamore,Crawford,Ohio,US,Solar farm,2025,117,-82.862,40.936
AWS,Amazon Solar + Storage Arizona - McFarland,Yuma County,Arizona,US,Solar farm,2024,300,-113.481,32.951
"50% AWS, 50% Amazon.com",Amazon Solar Farm Spain lll,Spain,Spain,Spain,Solar farm,2023,364,-5.767,39.303
AWS,Amazon Solar Farm Texas – Lake Whitney,Bosque County,Texas,US,Solar farm,2024,200,-97.393,31.844
AWS,Amazon Solar Farm Texas - Jungmann,Milan County,Texas,US,Solar farm,2025,40,-97.058,30.904
AWS,Amazon Solar Farm Texas - Texas One,Milam County,Texas,US,Solar farm,2025,50,-97.155,30.599
"55% AWS, 45% Amazon.com",Amazon Wind Farm UK - Kennoxhead ,"Kennoxhead, South Lanarkshire",Scotland,United Kingdom,Wind farm,2024,69,-3.88,55.505
AWS,Amazon Solar Farm Singapore I,Singapore,Singapore,Singapore,Solar farm,2022,50,103.82,1.352
AWS,Amazon Wind Farm North Carolina - Desert Wind,Perquimans and Pasquotank counties,North Carolina,US,Wind farm,2017,208,-76.456,36.229
AWS,Amazon Solar Farm Singapore II,Singapore,Singapore,Singapore,Solar farm,2022,14,103.634,1.298
AWS,Amazon Solar Farm Spain - Mambar,Spain,Spain,Spain,Solar farm,2025,26.88,-2.29,37.12
AWS,Amazon Solar Farm Spain - Valle Del Sol Energias Renovables,Spain,Spain,Spain,Solar farm,2025,32,-2.069,39.62
AWS,Amazon Solar Farm Italy - Castelvetrano,Italy,Italy,Italy,Solar Farm,2023,39.6,12.771,37.737
"80% AWS, 20% Amazon.com",Amazon Wind Farm Australia - Hawkesdale,Hawkesdale,Victoria,Australia,Wind farm,2022,96.6,142.346,-38.133
AWS,Amazon Solar Farm Virginia - Powells Creek,Halifax County,Virginia,US,Solar farm,2022,70,-79.028,36.55
AWS,Amazon Solar Farm Kentucky - Caldwell,Caldwell County,Kentucky,US,Solar farm,2023,100,-88,37.16
AWS,Amazon Solar + Storage California - Baldy Mesa,San Bernardino County,California,US,Solar farm,2024,150,-117.454,34.61
AWS,Amazon Wind Farm Finland - Mustalamminmaki,Finland,Finland,Finland,Wind farm,2024,23.6,24.904,62.856
AWS,Amazon Solar Farm Spain - FV Baluarte Solar,Spain,Spain,Spain,Solar farm,2025,24.717,-4.4,42.56
AWS,Amazon Wind Farm China – Qian'an,China,China,China,Wind farm,2023,100,123.65,44.95
AWS,Amazon Solar Farm Spain - Chambo,Spain,Spain,Spain,Solar farm,2025,26.88,-1.17,39.06
AWS,Amazon Solar Farm Maryland - Morgnec,Kent,Maryland,US,Solar farm,2025,45,-76.051,39.232
AWS ,Amazon Solar Farm Spain III,Spain,Spain,Spain,Solar farm,2023,152,-2.65,40
AWS,Amazon Solar Farm Maryland - CPV Backbone,Garrett County,Maryland,US,Solar farm,2026,130.5,-79.202,39.443
