business,name,city,state,country,energyType,date,size,longitude,latitude,aws_percent,aws_size_MW
AWS,Amazon Solar Farm Missouri - Envoy,Audrain County,Missouri,US,Solar farm,2023,50,-91.835,39.154,100%,50
AWS,Amazon Solar Farm Louisiana - Oak Ridge,Morehouse,Louisiana,US,Solar farm,2023,200,-91.788,32.575,100%,200
AWS,Amazon Solar Farm Illinois - Warren,Warren County,Illinois,US,Solar farm,2023,35,-90.669,40.896,100%,35
AWS,Amazon Solar Farm Arkansas - Big Cypress,Crittenden,Arkansas,US,Solar farm,2023,120,-90.194,35.185,100%,120
AWS,Amazon Solar Farm Mississippi – Potlatch,Scott County,Mississippi,US,Solar farm,2023,175,-89.731,32.517,100%,175
"0.4% AWS, 99.6% Amazon.com",Amazon Solar Farm Mississippi - Cane Creek,Clarke,Mississippi,US,Solar farm,2023,78.5,-88.69,32.04,4%,3.14
AWS,Amazon Solar Farm Kentucky - Caldwell,Caldwell County,Kentucky,US,Solar farm,2023,100,-88,37.16,100%,100
AWS,Amazon Solar Farm Indiana - Randolph,Randolph County,Indiana,US,Solar farm,2023,100,-85.135,40.035,100%,100
AWS,Amazon Solar Farm Ohio - Timber Road,Paulding County,Ohio,US,Solar farm,2023,50,-84.726,41.092,100%,50
AWS,Amazon Solar Farm Ohio - Mark Center,Defiance,Ohio,US,Solar farm,2023,90,-84.611,41.282,100%,90
AWS,Amazon Solar Farm Ohio - Great Bear,Van Wert County,Ohio,US,Solar farm,2023,46,-84.58,40.94,100%,46
AWS,Amazon Solar Farm Ohio - Blue Harvest,Putnam County,Ohio,US,Solar farm,2023,50,-84.274,41.092,100%,50
AWS,Amazon Solar Farm Ohio - Nestlewood,Brown and Clermont Counties,Ohio,US,Solar farm,2023,80,-84.017,38.926,100%,80
AWS,Amazon Solar Farm Ohio - Dodson Creek,Highland County,Ohio,US,Solar farm,2023,100,-83.5,39.22,100%,100
AWS,Amazon Solar Farm Ohio - Ross County,Ross County,Ohio,US,Solar farm,2023,100,-83.35,39.35,100%,100
AWS,Amazon Solar Farm Ohio - Yellowbud,Ross County,Ohio,US,Solar farm,2023,274,-83.15,39.55,100%,274
AWS,Amazon Solar Farm Ohio - Union,Union County,Ohio,US,Solar farm,2023,293,-83,40,100%,293
AWS,Amazon Solar Farm Ohio - Union Ridge,Licking County,Ohio,US,Solar farm,2023,108,-82.647,39.991,100%,108
AWS,Amazon Solar Farm Virginia - Axton,Pittsylvania County,Virginia,US,Solar farm,2023,200,-79.696,36.691,100%,200
AWS,Amazon Solar Farm Virginia - Alton Post,Halifax,Virginia,US,Solar farm,2023,75,-79.033,36.569,100%,75
AWS,Amazon Solar Farm Pennsylvania - Ridgeway,McKean County,Pennsylvania,US,Solar farm,2023,90,-78.515,41.696,100%,90
AWS,Amazon Solar Farm Virginia - Foxglove,Frederick County,Virginia,US,Solar farm,2023,55,-78.271,39.065,100%,55
AWS,Amazon Solar Farm Pennsylvania - Potter,Potter County,Pennsylvania,US,Solar farm,2023,30,-78.044,41.835,100%,30
AWS,Amazon Wind Farm Ireland - Ardderroo (Phase 1),Galway,Ireland,Ireland,Wind farm,2023,91,-8.83,53.35,100%,91
AWS,Amazon Wind Farm Northern Ireland - Ballykeel,United Kingdom,United Kingdom,United Kingdom,Wind farm,2023,16.1,-5.914,54.856,100%,16.1
"50% AWS, 50% Amazon.com",Amazon Solar Farm Spain - IV,Spain,Spain,Spain,Solar farm,2023,92,-5.767,39.303,50%,46
"50% AWS, 50% Amazon.com",Amazon Solar Farm Spain lll,Spain,Spain,Spain,Solar farm,2023,364,-5.767,39.303,50%,182
AWS,Amazon Solar Farm Spain – I,Spain,Spain,Spain,Solar farm,2023,28.6,-4.644,42.135,100%,28.6
AWS,Amazon Solar Farm Spain – Alamo,Spain,Spain,Spain,Solar Farm,2023,100,-4.059,40.039,100%,100
AWS,Amazon Solar Farm Spain III,Spain,Spain,Spain,Solar farm,2023,152,-2.65,40,100%,152
AWS,Amazon Wind Farm Spain – I,Spain,Spain,Spain,Wind farm,2023,60,-1.089,40.667,100%,60
AWS,Amazon Wind Farm - San Bartolome,"Municipality of Aguilon, in the province of Zaragoza (Aragon), Spain",Spain,Spain,Wind farm,2023,38.6,-0.955,41.305,100%,38.6
"50% AWS, 50% Amazon.com",Amazon Solar Farm France - Prechac,France,France,France,Solar farm,2023,15,-0.365,44.428,50%,7.5
AWS,Amazon Solar Farm Italy - Castelvetrano,Italy,Italy,Italy,Solar Farm,2023,39.6,12.771,37.737,100%,39.6
AWS,Amazon Wind Farm Sweden - Kallamossen,Sweden,Sweden,Sweden,Wind farm,2023,258,20.666,65.327,100%,258
AWS,Amazon Wind Farm Finland - Kalajoki,Finland,Finland,Finland,Wind farm,2023,63.84,23.927,64.196,100%,63.84
AWS,Amazon Wind Farm Finland - Puskakorpi,Finland,Finland,Finland,Wind farm,2023,53,24.184,64.404,100%,53
AWS,Amazon Wind Farm Finland - Kyyjärvi,Finland,Finland,Finland,Wind farm,2023,36,24.847,63.097,100%,36
AWS,Amazon Solar Farm India - Rajasthan Jaisalmer,Rajasthan,India,India,Solar farm,2023,210,71.043,26.315,100%,210
