year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2026,Google Cloud,us-east5,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,Columbus,"41.4366,-97.3565 ",0.46,0.64,1.04,,0.0,322.0,396.25,557.0,396.77,565.0,,,,,,
2026,Google Cloud,us-south1,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",0.89,0.94,1.087,,0.0,321.0,302.95,484.03,388.25,441.0,,,,,,
2026,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",0.83,0.87,1.1,,0.0,94.0,79.23,476.66,68.82,427.0,,,,,,
2026,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",0.55,0.63,1.084,,0.0,198.0,169.28,535.56,239.67,501.0,,,,,,
2026,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",0.3,0.33,1.084,,0.0,588.0,555.17,670.36,657.95,664.0,,,,,,
2026,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",0.29,0.64,1.09,,0.0,373.0,357.3,464.06,499.52,457.0,,,,,,
2026,Microsoft Azure,asiapacific,Indonesia,ID,IDN,Indonesia,"-6.219, 106.867",1.0,0.13,1.26,0.0,0.0,,652.36,779.09,652.36,623.65,,,,,,
2026,Microsoft Azure,australiaeast,New South Wales,AU-NSW,NEM_NSW,Australia East,"-33.889, 151.067",1.0,0.28,1.33,0.37,0.0,,545.01,727.59,546.1,770.0,,,,,,
2026,Microsoft Azure,australiasoutheast,Victoria,AU-VIC,NEM_VIC,Australia Southeast,"-37.725, 145.067",1.0,0.28,1.33,0.37,0.0,,498.19,548.15,514.1,665.0,,,,,,
2026,Microsoft Azure,austriaeast,Austria,AT,AT,Austria East,"48.217, 16.493",1.0,0.79,1.18,0.03,0.0,,160.36,635.7,81.79,632.0,,,,,,
2026,Microsoft Azure,brazilsouth,Brazil,BR-CS,BRA,Brazil,"-22.939, -47.045",1.0,0.05,1.18,0.49,0.0,,89.55,709.62,90.41,571.0,,,,,,
2026,Microsoft Azure,centralus,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa: Central US,"41.573,-93.608",1.0,1.0,1.16,0.42,0.0,,501.42,585.88,518.84,539.0,,,,,,
