year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2023,Microsoft Azure,northeurope,Ireland,IE,IE,Ireland,"53.35,-6.2603 ",,,1.19,,,,403.4,488.25,416.03,,,,,,,
2023,Microsoft Azure,westeurope,Netherlands,NL,NL,Netherlands,"51.9167,4.5",,,1.14,,,,283.17,501.34,292.61,,,,,,,
2023,Microsoft Azure,indiasouthcentral,India,IN-SO,IND,India South Central,"17.385,78.4867 ",,,,,,,551.31,832.74,549.72,,,,,,,
2023,Microsoft Azure,mexicocentral,Mexico,MX,MX_SIN,Mexico Central,"20.631, -100.428",,,,,,,,417.76,,,,,,,,
2023,Microsoft Azure,spaincentral,Spain,ES,ES,Spain Central,"40.44,-3.679",,,,,,,153.86,363.46,154.56,,,,,,,
2023,Microsoft Azure,westus3,,,AZPS,Arizona: west US 3,"33.471,-112.056",,,1.18,,,,,532.74,,,,,,,,
2023,Microsoft Azure,eastus3,SOCO,US-SE-SOCO,SOCO,Georgia: East US 3,"33.76,-84.401",,,,,,,435.76,530.63,440.35,,,,,,,
2023,Microsoft Azure,northcentralus,MISO,US-MIDW-MISO,MISO_SPRINGFIELD,Illinois: North Central US,"41.832,-87.673",,,1.35,,,,501.42,628.91,518.84,,,,,,,
2023,Microsoft Azure,centralus,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa: Central US,"41.573,-93.608",,,1.16,,0,,501.42,585.88,518.84,,,,,,,
2023,Microsoft Azure,southcentralus,ERCOT,US-TEX-ERCO,ERCOT_SANANTONIO,Texas: South Central US,"29.453,-98.508",,,1.28,,0,,388.76,518.56,388.25,,,,,,,
2023,Microsoft Azure,eastus,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US,"36.68,-78.377",,,1.14,,,,396.25,557.17,396.77,,,,,,,
2023,Microsoft Azure,eastus2,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US 2,"36.68,-78.377",,,1.14,,,,396.25,557.17,396.77,,,,,,,
2023,Microsoft Azure,westus,BPA,US-NW-BPAT,BPA,Washington: West US,"47.247,-119.82",,,1.15,,,,119.76,476.66,68.82,,,,,,,
2023,Microsoft Azure,westcentralus,,,WACM,Wyoming: West Central US,"41.130,-104.83",,,1.11,,,,,905.93,,,,,,,,
